N,d,time
10,2,0.019904
10,4,0.010208
10,8,0.010912
10,16,0.010048
10,32,0.009568
10,64,0.012000
10,128,0.011616
10,256,0.011520
10,512,0.010656
10,1024,0.010176
100,2,0.009504
100,4,0.009184
100,8,0.009056
100,16,0.009696
100,32,0.009312
100,64,0.008032
100,128,0.007264
100,256,0.015808
100,512,0.018496
100,1024,0.014432
1000,2,0.011168
1000,4,0.007904
1000,8,0.007264
1000,16,0.007104
1000,32,0.011616
1000,64,0.011424
1000,128,0.012160
1000,256,0.021184
1000,512,0.028544
1000,1024,0.052704
10000,2,0.029376
10000,4,0.023200
10000,8,0.024064
10000,16,0.031424
10000,32,0.024448
10000,64,0.033920
10000,128,0.055648
10000,256,0.100384
10000,512,0.201920
10000,1024,0.444128
100000,2,0.179904
100000,4,0.172832
100000,8,0.173472
100000,16,0.179648
100000,32,0.181920
100000,64,0.206144
100000,128,0.400768
100000,256,0.848960
100000,512,1.861088
100000,1024,4.310880
1000000,2,1.673024
1000000,4,1.674432
1000000,8,1.674560
1000000,16,1.674336
1000000,32,1.670464
1000000,64,1.902208
1000000,128,3.918752
1000000,256,8.325824
1000000,512,18.507168
