N,d,time
10,2,1.839456
10,4,1.411232
10,8,1.280224
10,16,1.364544
10,32,1.362560
10,64,1.330272
10,128,1.329344
10,256,1.352160
10,512,1.254688
10,1024,1.327456
100,2,1.180544
100,4,1.186784
100,8,1.171744
100,16,1.180608
100,32,1.176256
100,64,1.200640
100,128,1.213856
100,256,1.265664
100,512,1.496736
100,1024,2.041376
1000,2,1.254240
1000,4,1.247264
1000,8,1.265856
1000,16,1.259776
1000,32,1.272544
1000,64,1.590304
1000,128,2.238592
1000,256,3.132768
1000,512,5.667328
1000,1024,11.440960
10000,2,2.097984
10000,4,2.352672
10000,8,2.458528
10000,16,2.896544
10000,32,3.558656
10000,64,7.473888
10000,128,12.682528
10000,256,23.227425
10000,512,47.759201
10000,1024,104.373505
100000,2,10.635008
100000,4,11.510368
100000,8,14.127072
100000,16,16.165279
100000,32,24.552576
100000,64,63.673920
100000,128,117.076317
100000,256,220.675003
100000,512,460.631531
100000,1024,1024.686890
